0.00,0.03,4.21
-0.00,0.02,12.45
0.03,0.04,6.84
0.01,0.02,2.62
0.00,0.02,2.75
0.01,0.03,2.50
0.01,0.02,1.59
-0.00,0.02,2.56
0.00,0.02,2.56
0.00,0.03,2.20
0.00,0.02,2.44
-0.00,0.02,2.50
0.00,0.02,2.38
0.00,0.02,2.44
0.00,0.03,2.20
-0.00,0.02,2.32
0.00,0.02,2.26
0.00,0.02,3.17
0.00,0.02,2.32
-0.00,0.02,2.56
0.00,0.02,2.93
0.00,0.02,1.83
0.01,0.03,2.38
0.00,0.02,2.62
0.00,0.02,0.79
-0.00,0.02,2.81
0.00,0.02,3.36
0.00,0.02,2.44
0.00,0.03,3.11
0.00,0.02,2.87
0.01,0.02,2.56
0.00,0.03,2.01
0.00,0.03,1.34
0.00,0.02,0.85
-0.00,0.03,1.28
0.01,0.02,2.38
0.00,0.02,2.75
0.00,0.03,1.83
0.00,0.02,1.89
0.01,0.02,2.75
0.00,0.02,1.46
-0.00,0.02,1.65
0.00,0.02,2.20
-0.00,0.02,1.59
0.01,0.03,1.65
-0.00,0.03,-4.70
0.01,0.02,-2.14
-0.01,0.03,-3.05
0.01,0.02,-2.26
0.02,0.02,-3.05
0.00,0.02,-5.07
0.02,0.02,-4.33
-0.00,0.03,-2.87
-0.01,0.03,-1.83
0.01,0.02,-2.81
0.02,0.02,-8.85
0.00,0.02,-16.72
0.01,0.02,-19.04
0.01,0.03,-21.91
0.01,0.03,-27.65
-0.03,0.03,-42.79
-0.02,0.00,-49.01
0.04,0.03,-57.74
0.10,0.09,-70.01
0.30,0.12,-93.51
0.24,-0.02,-112.85
-0.03,-0.02,-99.00
0.02,0.06,-104.06
-0.04,0.10,-104.55
0.09,0.02,-116.64
0.08,0.01,-88.07
0.05,0.03,-93.63
-0.08,0.04,-80.51
-0.00,-0.03,-76.42
-0.01,0.03,-68.24
0.02,0.03,-63.72
0.05,0.02,-66.16
0.05,-0.02,-62.01
-0.02,0.03,-59.81
0.01,0.02,-53.71
0.04,0.04,-68.12
0.02,0.03,-63.78
-0.07,0.03,-73.55
-0.03,0.02,-69.64
-0.08,0.02,-58.53
0.07,0.07,-63.05
-0.00,0.03,-71.59
0.06,0.05,-69.95
-0.10,0.02,-75.20
-0.01,0.03,-58.29
0.08,0.03,-58.59
-0.02,-0.00,-74.10
-0.09,0.02,-71.04
-0.00,0.05,-48.71
-0.04,0.05,-48.34
0.07,0.03,-43.03
0.02,0.02,-49.38
0.06,-0.00,-43.88
0.01,0.04,-43.27
-0.08,0.01,-39.73
-0.04,0.02,-42.72
0.00,0.04,-38.64
0.12,0.08,-45.47
0.02,0.01,-41.02
0.14,0.06,-44.49
0.08,0.06,-46.45
0.05,0.07,-52.19
-0.08,0.01,-48.16
0.12,0.06,-36.25
-0.01,0.01,-17.46
-0.10,-0.00,-30.52
0.05,0.04,-26.86
-0.04,0.01,-26.79
-0.03,-0.00,-27.04
-0.00,-0.00,-28.93
-0.05,0.02,-32.35
-0.01,0.03,-17.64
0.01,0.04,-15.87
0.00,0.03,-14.34
0.01,0.02,-7.63
-0.01,0.02,-12.88
